timestamp;id_estacao;emManutenção;LT-101_tag;LT-101_valor;LT-101_unidade;LT-101_ligado;FT-201_tag;FT-201_valor;FT-201_unidade;FT-201_ligado;PT-301_tag;PT-301_valor;PT-301_unidade;PT-301_ligado;CNT-389_tag;CNT-389_valor;CNT-389_unidade;CNT-389_ligado;BMB-00_tag;BMB-00_tipo;BMB-00_grupo;BMB-00_ligada;BMB-00_em_falha;BMB-01_tag;BMB-01_tipo;BMB-01_grupo;BMB-01_ligada;BMB-01_em_falha;BMB-02_tag;BMB-02_tipo;BMB-02_grupo;BMB-02_ligada;BMB-02_em_falha;BMB-03_tag;BMB-03_tipo;BMB-03_grupo;BMB-03_ligada;BMB-03_em_falha;ultimo_alarme
2026-06-27 17:58:40;EB-016-NORMAL;0;LT-101;50;%;Ligado;FT-201;30;L/s;Ligado;PT-301;1.98291;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Desligada;SemFalha;NENHUM
2026-06-27 17:58:41;EB-016-NORMAL;0;LT-101;50;%;Ligado;FT-201;0;L/s;Ligado;PT-301;1.99563;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Desligada;SemFalha;NENHUM
2026-06-27 17:58:42;EB-016-NORMAL;0;LT-101;50;%;Ligado;FT-201;0;L/s;Ligado;PT-301;1.98472;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Desligada;SemFalha;NENHUM
2026-06-27 17:58:43;EB-016-NORMAL;0;LT-101;50;%;Ligado;FT-201;0;L/s;Ligado;PT-301;1.96356;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Desligada;SemFalha;NENHUM
2026-06-27 17:58:44;EB-016-NORMAL;0;LT-101;60.7472;%;Ligado;FT-201;10.7472;L/s;Ligado;PT-301;1.97212;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Ligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Desligada;SemFalha;NENHUM
2026-06-27 17:58:45;EB-016-NORMAL;0;LT-101;79.4458;%;Ligado;FT-201;18.6986;L/s;Ligado;PT-301;2.01568;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Ligada;SemFalha;[2026-06-27 17:58:45] Sensor LT-101 reportou: NIVEL_ALTO
2026-06-27 17:58:46;EB-016-NORMAL;0;LT-101;60.0933;%;Ligado;FT-201;-19.3525;L/s;Ligado;PT-301;2.0084;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Ligada;SemFalha;[2026-06-27 17:58:45] Sensor LT-101 reportou: NIVEL_ALTO
2026-06-27 17:58:47;EB-016-NORMAL;0;LT-101;46.2939;%;Ligado;FT-201;-13.7994;L/s;Ligado;PT-301;2.04125;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Ligada;SemFalha;[2026-06-27 17:58:45] Sensor LT-101 reportou: NIVEL_ALTO
2026-06-27 17:58:48;EB-016-NORMAL;0;LT-101;28.0312;%;Ligado;FT-201;-18.2627;L/s;Ligado;PT-301;2.07489;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Desligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Desligada;SemFalha;BMB-03;Esvaziar;2;Ligada;SemFalha;[2026-06-27 17:58:45] Sensor LT-101 reportou: NIVEL_ALTO
2026-06-27 17:58:49;EB-016-NORMAL;0;LT-101;15.2404;%;Ligado;FT-201;-12.7908;L/s;Ligado;PT-301;2.08165;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Ligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Ligada;SemFalha;BMB-03;Esvaziar;2;Desligada;SemFalha;[2026-06-27 17:58:49] Sensor LT-101 reportou: NIVEL_CRITICO_BAIXO
2026-06-27 17:58:50;EB-016-NORMAL;0;LT-101;45.5641;%;Ligado;FT-201;30.3237;L/s;Ligado;PT-301;2.12868;kPa;Ligado;CNT-389;0;n/a;Ligado;BMB-00;Encher;1;Ligada;SemFalha;BMB-01;Esvaziar;1;Desligada;SemFalha;BMB-02;Encher;2;Ligada;SemFalha;BMB-03;Esvaziar;2;Desligada;SemFalha;[2026-06-27 17:58:49] Sensor LT-101 reportou: NIVEL_CRITICO_BAIXO
